can_depnum,can_story,can_loc,can_closure
027932,Canopy,Q3,5
027932,Canopy,Q4,1
027451,Midstory,Mic,1
027451,Midstory,Q1,2
027451,Midstory,Q2,2
027451,Midstory,Q3,5
027451,Midstory,Q4,1
027451,Canopy,Mic,1
027451,Canopy,Q1,4
027451,Canopy,Q2,5
027451,Canopy,Q3,4
027451,Canopy,Q4,5
027452,Midstory,Mic,2
027452,Midstory,Q1,1
027452,Midstory,Q2,5
027452,Midstory,Q3,5
027452,Midstory,Q4,1
027452,Canopy,Mic,5
027452,Canopy,Q1,3
027452,Canopy,Q2,5
027452,Canopy,Q3,5
027452,Canopy,Q4,5
000041,Midstory,Mic,1
000041,Midstory,Q1,1
000041,Midstory,Q2,5
000041,Midstory,Q3,3
000041,Midstory,Q4,2
000041,Canopy,Mic,2
000041,Canopy,Q1,1
000041,Canopy,Q2,1
000041,Canopy,Q3,3
000041,Canopy,Q4,5
000042,Midstory,Mic,1
000042,Midstory,Q1,2
000042,Midstory,Q2,1
000042,Midstory,Q3,2
000042,Midstory,Q4,1
000042,Canopy,Mic,1
000042,Canopy,Q1,1
000042,Canopy,Q2,2
000042,Canopy,Q3,1
000042,Canopy,Q4,1
000092,Midstory,Mic,1
000092,Midstory,Q1,1
000092,Midstory,Q2,2
000092,Midstory,Q3,2
000092,Midstory,Q4,1
000092,Canopy,Mic,3
000092,Canopy,Q1,1
000092,Canopy,Q2,3
000092,Canopy,Q3,2
000092,Canopy,Q4,2
000091,Midstory,Mic,1
000091,Midstory,Q1,1
000091,Midstory,Q2,2
000091,Midstory,Q3,5
000091,Midstory,Q4,1
000091,Canopy,Mic,3
000091,Canopy,Q1,4
000091,Canopy,Q2,2
000091,Canopy,Q3,4
000091,Canopy,Q4,3
000151,Midstory,Mic,1
000151,Midstory,Q1,5
000151,Midstory,Q2,3
000151,Midstory,Q3,2
000151,Midstory,Q4,2
000151,Canopy,Mic,2
000151,Canopy,Q1,2
000151,Canopy,Q2,2
000151,Canopy,Q3,5
000151,Canopy,Q4,4
